epoch,acc,loss,lr,val_acc,val_loss
0,0.523017627,1.46713214,0.719710061,0.810234536,2.774349943
1,0.631677502,1.005671699,0.632719521,0.833688692,2.948805867
2,0.666409694,0.911909242,3.036004474,0.457356085,0.783026064
3,0.694273129,0.830562442,1.289424226,0.639658853,1.232495745
4,0.712004407,0.780208491,2.143426088,0.349680177,2.148154914
5,0.722687225,0.753102195,1.649021736,0.567164187,1.063949473
6,0.728163895,0.739541534,1.170867147,0.621535187,1.085470074
7,0.742951541,0.707521408,0.565151463,0.792110873,0.626417782
8,0.751101321,0.668646232,0.909948853,0.720682304,0.897808201
9,0.760792951,0.642316762,0.915124025,0.730277187,0.675800639
10,0.75911444,0.652015764,0.770171879,0.737739872,1.271522252
11,0.763215858,0.620322611,0.652619903,0.764392321,1.000365332
12,0.781387663,0.60143797,0.46970887,0.859275047,0.552375
13,0.786233478,0.568871086,1.162371828,0.64605544,1.164287709
14,0.785572685,0.558544852,0.67959479,0.784648186,1.070011543
